subset,metric,n,successes,rate,ci_low,ci_high
all,fertility_rate,160.0,119.0,0.74375,0.6709441826005734,0.8051257972533179
all,overall_hatch_rate,160.0,81.0,0.50625,0.42954855027197547,0.5826583722883807
all,hatchability_of_fertile,119.0,81.0,0.680672268907563,0.5923842356139017,0.7576604513574984
all,day7_survival,81.0,75.0,0.9259259259259259,0.8476712613403237,0.9656103695876189
ok_only,fertility_rate,160.0,119.0,0.74375,0.6709441826005734,0.8051257972533179
ok_only,overall_hatch_rate,160.0,81.0,0.50625,0.42954855027197547,0.5826583722883807
ok_only,hatchability_of_fertile,119.0,81.0,0.680672268907563,0.5923842356139017,0.7576604513574984
ok_only,day7_survival,81.0,75.0,0.9259259259259259,0.8476712613403237,0.9656103695876189
